time,value
2023-03-13T08:53:26.85Z,60
2023-03-13T08:53:28.956Z,60
2023-03-13T08:53:31.055Z,60
2023-03-13T08:53:33.166Z,59.900001525878906
2023-03-13T08:53:35.271Z,60
2023-03-13T08:53:37.382Z,60
2023-03-13T08:53:39.505Z,60
2023-03-13T08:53:41.604Z,60
2023-03-13T08:53:43.71Z,60
2023-03-13T08:53:45.815Z,60
2023-03-13T08:53:47.939Z,60
2023-03-13T08:53:50.046Z,60
2023-03-13T08:53:52.155Z,60
2023-03-13T08:53:54.267Z,60
2023-03-13T08:53:56.372Z,60
2023-03-13T08:53:58.483Z,60
2023-03-13T08:54:00.591Z,60
2023-03-13T08:54:02.691Z,60
2023-03-13T08:54:04.809Z,60
2023-03-13T08:54:06.931Z,60
2023-03-13T08:54:09.026Z,60
2023-03-13T08:54:11.142Z,60
2023-03-13T08:54:13.246Z,59.900001525878906
2023-03-13T08:54:15.355Z,60
2023-03-13T08:54:17.467Z,60
2023-03-13T08:54:19.573Z,60
2023-03-13T08:54:21.681Z,60
2023-03-13T08:54:23.792Z,60
2023-03-13T08:54:25.901Z,60
2023-03-13T08:54:28.017Z,60
2023-03-13T08:54:30.13Z,60
2023-03-13T08:54:32.235Z,60
2023-03-13T08:54:34.342Z,60
2023-03-13T08:54:36.458Z,59.900001525878906
2023-03-13T08:54:38.592Z,60
2023-03-13T08:54:40.672Z,59.900001525878906
2023-03-13T08:54:42.781Z,60
2023-03-13T08:54:44.892Z,60
2023-03-13T08:54:46.993Z,60
2023-03-13T08:54:49.099Z,60
2023-03-13T08:54:51.221Z,60
2023-03-13T08:54:53.332Z,59.900001525878906
2023-03-13T08:54:55.436Z,60
2023-03-13T08:54:57.548Z,60
2023-03-13T08:54:59.652Z,60
2023-03-13T08:55:01.766Z,60
2023-03-13T08:55:03.873Z,60
2023-03-13T08:55:05.983Z,60
2023-03-13T08:55:08.083Z,60
2023-03-13T08:55:10.201Z,60
2023-03-13T08:55:12.31Z,60
2023-03-13T08:55:14.431Z,60
2023-03-13T08:55:16.53Z,59.900001525878906
2023-03-13T08:55:18.637Z,59.900001525878906
2023-03-13T08:55:20.75Z,60
2023-03-13T08:55:22.86Z,60
2023-03-13T08:55:24.965Z,59.900001525878906
2023-03-13T08:55:27.069Z,59.900001525878906
2023-03-13T08:55:29.187Z,60
2023-03-13T08:55:31.292Z,60
2023-03-13T08:55:33.4Z,59.900001525878906
2023-03-13T08:55:35.509Z,60
2023-03-13T08:55:37.619Z,60
2023-03-13T08:55:39.721Z,60
2023-03-13T08:55:41.831Z,60
2023-03-13T08:55:43.956Z,60
2023-03-13T08:55:46.061Z,60
2023-03-13T08:55:48.167Z,60
2023-03-13T08:55:50.27Z,60
2023-03-13T08:55:52.386Z,60
2023-03-13T08:55:54.502Z,60
2023-03-13T08:55:56.605Z,60
2023-03-13T08:55:58.712Z,59.900001525878906
2023-03-13T08:56:00.829Z,60
2023-03-13T08:56:02.941Z,60
2023-03-13T08:56:05.051Z,60
2023-03-13T08:56:07.152Z,59.900001525878906
2023-03-13T08:56:09.267Z,60
2023-03-13T08:56:11.374Z,60
2023-03-13T08:56:13.483Z,60
2023-03-13T08:56:15.59Z,60
2023-03-13T08:56:17.698Z,60
2023-03-13T08:56:19.81Z,60
2023-03-13T08:56:21.92Z,60
2023-03-13T08:56:24.022Z,60
2023-03-13T08:56:26.133Z,60
2023-03-13T08:56:28.243Z,60
2023-03-13T08:56:30.362Z,60
2023-03-13T08:56:32.475Z,60
2023-03-13T08:56:34.576Z,60
2023-03-13T08:56:36.682Z,60
2023-03-13T08:56:38.791Z,60
2023-03-13T08:56:40.922Z,60
2023-03-13T08:56:43.004Z,60
2023-03-13T08:56:45.326Z,60
2023-03-13T08:56:47.236Z,60
2023-03-13T08:56:49.343Z,60
2023-03-13T08:56:51.457Z,60
2023-03-13T08:56:53.568Z,60
2023-03-13T08:56:55.675Z,60
2023-03-13T08:56:57.776Z,60
2023-03-13T08:56:59.886Z,60
2023-03-13T08:57:01.997Z,60
2023-03-13T08:57:04.105Z,60
2023-03-13T08:57:06.217Z,60
2023-03-13T08:57:08.322Z,60
2023-03-13T08:57:10.44Z,60
2023-03-13T08:57:12.552Z,60
2023-03-13T08:57:14.658Z,60
2023-03-13T08:57:16.759Z,60
2023-03-13T08:57:18.875Z,59.900001525878906
2023-03-13T08:57:20.987Z,59.900001525878906
2023-03-13T08:57:23.092Z,59.900001525878906
2023-03-13T08:57:25.199Z,59.900001525878906
2023-03-13T08:57:27.307Z,59.900001525878906
2023-03-13T08:57:29.417Z,60
2023-03-13T08:57:31.527Z,60
2023-03-13T08:57:33.641Z,59.900001525878906
2023-03-13T08:57:35.755Z,59.900001525878906
2023-03-13T08:57:37.858Z,59.900001525878906
2023-03-13T08:57:39.97Z,59.900001525878906
2023-03-13T08:57:42.075Z,59.900001525878906
2023-03-13T08:57:44.186Z,59.900001525878906
2023-03-13T08:57:46.293Z,59.900001525878906
2023-03-13T08:57:48.396Z,59.900001525878906
2023-03-13T08:57:50.511Z,60
2023-03-13T08:57:52.621Z,60
2023-03-13T08:57:54.731Z,60
2023-03-13T08:57:56.854Z,60
2023-03-13T08:57:58.953Z,60
2023-03-13T08:58:01.056Z,59.900001525878906
2023-03-13T08:58:03.172Z,60
2023-03-13T08:58:05.273Z,60
2023-03-13T08:58:07.388Z,59.900001525878906
2023-03-13T08:58:09.493Z,59.900001525878906
2023-03-13T08:58:11.606Z,59.900001525878906
2023-03-13T08:58:13.714Z,59.900001525878906
2023-03-13T08:58:15.825Z,60
2023-03-13T08:58:17.933Z,60
2023-03-13T08:58:20.048Z,60
2023-03-13T08:58:22.158Z,59.900001525878906
2023-03-13T08:58:24.263Z,60
2023-03-13T08:58:26.38Z,60
2023-03-13T08:58:28.487Z,60
2023-03-13T08:58:30.594Z,60
2023-03-13T08:58:32.701Z,60
2023-03-13T08:58:34.808Z,60
2023-03-13T08:58:36.907Z,60
2023-03-13T08:58:39.026Z,60
2023-03-13T08:58:41.133Z,60
2023-03-13T08:58:43.251Z,60
2023-03-13T08:58:45.36Z,59.900001525878906
